Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
HAMILTON COUNTY HOSPITAL DISTRICT,589,23,1,0,0,4,17.4,78.3,0,21.7,2.1,2.4,1.7,3.5,3.3,2.9,0.4,60.1,60.9,1.1,47,2,1422729.1,61857.79,5,0.2,21.8,9.7,1.2,1.5,59.2,86.4,92.3,1.7,1.62,9,3.5,6,1,0.9,16.2,18.8,98.1,99,0,54.4,3.2,4,24.9,10.7,11.5,7.1
HARBORVIEW HEALTH SYSTEMS,246,14,2,0,1,2,14.3,100,0,0,2.1,2.6,1.5,2.7,3.4,2.8,0.5,55.2,54,0.2,23,1.6,308917.27,22065.52,2,0.1,21.5,11.2,1.8,2.2,75.7,66,69.9,2.18,1.83,13.8,2.8,13.1,2.8,1.2,19.7,16.6,90,84.3,0,54.9,6.9,8.3,13.4,11.3,23,9.3
HARMONY,693,3,2,0,1,0,0,100,0,0,1.3,2,1,3.7,3.4,3,0.7,69,70.7,2.7,10,3.3,313433.11,104477.7,3,1,21.4,16.4,1.7,2.8,87.9,59.7,51.7,1.15,1.56,9.4,3.3,10.6,3.3,1.6,11,7.6,93.7,83.1,0,49.3,9.1,34.9,19.5,11,54.5,7.6
HARRISON SENIOR LIVING,248,2,2,0,0,0,0,100,0,0,3,3.5,2,3,3.6,3.2,0.6,56.9,25,,5,2.5,48354.8,24177.4,0,0,22.9,11.9,1.2,4.4,74.7,88.9,84,1.28,1.19,13,2.9,8.8,0.8,0.5,19,13.7,97.5,89.6,0,50.5,11.1,5.3,19,11.5,32.2,46.2
HAVEN HEALTH,249,20,1,0,1,0,0,100,0,0,2.5,2.2,1.8,4.4,3.3,2.9,0.6,46.5,46.3,0.7,14,0.7,101828.31,5091.42,0,0,23.3,12.1,0.7,1.9,77.6,81.9,87.6,1.34,1.77,8.2,2.4,8.8,0.7,0.9,13.3,9.5,92.4,95.4,0.2,56.9,6.9,4.5,21.2,10.4,17,10.4
HAWAII HEALTH SYSTEMS CORPORATION,250,6,1,0,0,0,0,0,0,100,4.2,3.7,4.3,4.5,4.4,3.8,1.3,25.6,28.3,0.5,11,1.8,208069.18,34678.2,0,0,8.5,15.3,5.2,5.6,86.9,82.3,74.6,0.94,0.77,11.9,1.4,5.1,1.9,0.6,19.8,11.4,98.8,94.3,0,43.7,4.4,2.1,8.5,,36.3,14.2
HCF MANAGEMENT,251,22,2,0,0,0,0,100,0,0,3.2,3.2,2.7,3.3,3.5,3.1,0.7,46.1,37.5,0.6,17,0.8,140923.63,6405.62,1,0,22.5,12.1,1.6,4.1,73,62.2,70.9,1.36,1.8,16.7,3.6,7.4,1.2,0.5,15.9,13.8,93.4,91.5,0,48.6,5.8,4,24.7,10.3,21.8,6.8
HCF MANAGEMENT INDIANA,252,13,1,0,0,0,0,7.7,15.4,76.9,3.5,3.8,2.1,3.2,3.8,3,0.5,35.1,24,0.4,4,0.3,47664.55,3666.5,0,0,22.1,14.6,0.9,2.5,72.5,90.1,94.3,1.56,1.6,8.8,6.2,7.8,4.7,0.1,14.5,22.7,99.3,99.1,0.3,43,4.7,32.6,25.1,10.5,11.2,0.3
HCR MANORCARE,253,23,7,0,2,1,4.3,39.1,60.9,0,2.7,2.4,2.3,4.1,3.7,3.2,0.6,49.6,54.5,1.7,47,2,919788.44,39990.8,3,0.1,22.8,10.3,1.1,1.7,78.7,80.3,80.4,1.72,1.52,11.4,2,10.3,1.4,0.5,17.4,13.7,96.6,94.1,0,50.1,6.3,4.4,15,11.1,27.9,17.6
HEALTH CARE MANAGEMENT GROUP,254,7,2,0,0,0,0,100,0,0,3.9,3.7,2.6,3.7,3.7,3.4,0.5,47.6,42,0.4,12,1.7,100637.31,14376.76,0,0,27,11.2,2.4,1.6,73.5,74.8,82.8,1.55,1.38,19.5,4.1,5,0.2,0.2,10.1,17.6,96.5,89.7,0,57.5,8.8,23.7,26.1,10.3,39.7,2.7
"HEALTH CONCEPTS, LTD.",255,5,1,0,0,0,0,100,0,0,4.4,4.6,2.8,3,3.1,2.8,0.7,49.2,26.6,0.5,1,0.2,7900.75,1580.15,0,0,22.7,13.8,1.9,3.5,82.9,84,82,0.91,1.46,21.9,5.2,6.1,2.4,1.1,19.4,18.1,97.1,96.3,0.3,44.5,4.8,2.4,12.6,10.2,36.5,16.7
"HEALTH SCHOLARSHIPS, INC.",256,38,1,0,0,1,2.6,0,100,0,3.2,3.3,3.2,3,3.6,3.1,0.5,44,26.1,0.4,19,0.5,343978.6,9052.07,1,0,20.8,11.8,2,3,76.2,83.2,79.1,1.5,1.26,22,3.7,10.4,2.7,0.9,20.1,18.6,97.2,94.4,0.1,37.2,6.8,2.6,21.5,10.4,33.3,0.5
HEALTH SERVICES MANAGEMENT,257,15,2,0,0,3,20,26.7,46.7,26.7,2.8,2.9,2.5,2.9,3.6,3.2,0.4,59.5,51.2,0.7,22,1.5,504247.56,33616.5,3,0.2,27.3,12.1,1.7,1.5,64.2,75.3,79,1.82,1.45,8.1,3,8.1,1.6,1.1,19.5,16.2,97.8,87.5,0,54.5,6.1,1.3,22.8,10.5,14.8,5.6
"HEALTH SYSTEMS FACILITIES, INC.",258,7,1,0,0,0,0,0,100,0,3,3.4,3,2.1,3.4,3,0.4,44,23.6,0.6,2,0.3,24864.32,3552.05,0,0,26.1,16.8,4.1,10.2,68.3,71.5,66.4,1.63,1.56,23,2.3,10.5,2.6,1,18,19.5,96,87.9,0,40.6,5.8,2.2,24,10.6,43.6,0.9
"HEALTHCARE ACCOUNTING SERVICES, LLC",259,5,2,0,0,3,60,100,0,0,1.2,1.8,1,2.4,2.3,2,0.2,51.3,57.5,1.2,20,4,875244.36,175048.87,6,1.2,19.2,15.7,0.8,3.2,55.5,20.8,40.4,2.07,1.9,21,1.6,7.2,2.4,3.5,23.4,18.8,78.6,84.3,0,26.5,3.2,16.5,18.9,11.1,51.9,41
HEALTHCARE OF IOWA,260,9,1,0,0,1,11.1,66.7,33.3,0,3,2.9,3.6,3.3,3.4,2.9,0.8,54.5,34.7,0.5,24,2.7,234084.41,26009.38,1,0.1,16,13.5,0.2,4.9,77.4,80.9,91.1,1.34,2.32,10.9,6.1,9.2,1,1.4,13.4,20,91.5,96.6,0.2,29.1,5.4,2.6,13.6,9.8,30.8,3.6
"HEALTHPEAK PROPERTIES, INC.",261,15,6,0,0,1,6.7,100,0,0,3.1,2.9,3.7,3.3,4.6,4.1,1,46.4,45.8,0.4,24,1.6,508830.51,33922.03,0,0,25.1,11.7,1.2,2.2,79.4,90.4,93.5,2.16,1.48,10.9,2.1,12.1,3.1,2,20.8,14.6,96.8,97.8,0,76.4,6.2,2.5,19.4,10.8,26.5,15.5
HEARTHSTONE SENIOR COMMUNITIES,262,8,1,0,2,1,12.5,25,75,0,2.1,2.1,2.3,3.6,3.2,3,0.4,39.6,43.9,0.9,7,0.9,490135.38,61266.92,0,0,21.9,9.6,2.8,1,83.4,98.4,98.5,1.79,0.99,7.4,2.4,7.8,0.2,0,8.2,7.4,99.9,100,0,27.2,6.6,1.5,28.1,10.9,39.7,3.8
HELIA HEALTHCARE,263,13,2,0,1,3,23.1,100,0,0,2.2,2.6,1.5,2.8,2.8,2.5,0.5,56,48.4,0.4,20,1.5,1071311.02,82408.54,12,0.9,22.2,15.5,1.6,1.8,68.6,79.1,80,2,2.49,10.9,3.3,7.9,2.5,0.8,17,12.7,94.3,91.2,0.6,57.5,5.7,17.9,22.4,12.1,34,5
HERITAGE HALL,265,16,1,0,0,0,0,100,0,0,2.9,3.5,1.1,3.6,3.2,2.6,0.4,64.8,60.9,1.6,7,0.4,91164.69,5697.79,0,0,19.4,9.9,1,2.1,69.8,79.5,86.6,1.17,1.71,11.4,3.5,6.6,2.2,0.3,18.8,17,96.9,97.4,0,45.3,5.2,1.2,19.5,11,37.7,14.4
HERITAGE MINISTRIES,266,5,3,0,0,0,0,20,80,0,2,2.4,1.6,3.4,3,2.6,0.4,48.6,49.2,1,20,4,195484.71,39096.94,1,0.2,11.2,11.4,2.3,4.6,77.3,69.2,61,0.9,0.79,15.5,4.5,6,3.3,1.5,24.6,17.8,87.9,85.4,0,63.2,7.1,1.4,16.8,9.6,15.4,1.8
HERITAGE OPERATIONS GROUP,651,9,1,0,0,0,0,22.2,66.7,11.1,2.9,3.4,2.1,2.3,3.4,3,0.5,48.7,40.9,0.9,20,2.2,470221.5,52246.83,8,0.9,21.3,18.3,1.1,2.3,70.2,68.7,85.4,1.63,2.62,14,4.9,6.8,3.9,2.3,17.1,15.1,92.6,92.7,0.8,58.5,11.1,4.1,18.1,9.6,35,1.6
HICKORY CREEK HEALTHCARE FOUNDATION,268,13,1,0,0,0,0,61.5,23.1,15.4,3.5,3.8,1.2,4.3,3.3,2.8,0.5,55.7,61.8,0.3,7,0.5,63673.35,4897.95,0,0,21.1,15.7,1.7,3.2,80.8,80.4,81,1.75,2.19,9.6,2.5,9.3,1.5,0.4,6.1,13.2,98,94.1,0.2,52,4.4,25,27.3,10.8,12.8,3.2
HIGHBRIDGE HEALTHCARE,269,2,2,0,0,0,0,100,0,0,3,2.5,3,4.5,3.3,3,0.4,38.4,38.1,0,0,0,0,0,0,0,19,7.5,1.6,2.8,86.4,97,94.6,1.58,1.48,18.9,3.1,9.8,0.8,0.4,6.4,9.4,100,99.7,0,37.3,3.9,10.9,17.8,8.8,26.1,0.7
HILL VALLEY HEALTHCARE,270,39,6,1,0,2,5.1,92.3,7.7,0,1.9,2,1.7,3.2,3.1,2.7,0.5,56,54.1,1.1,69,1.8,2095072.22,53719.8,4,0.1,19.9,12.2,1.5,2.2,72.6,64.2,63.9,1.29,1.59,15.7,3.9,8.8,1.6,0.7,23.2,19.6,92.2,86.4,0,53.8,8.4,8.2,17.9,10.7,32.1,3.8
HILLSTONE HEALTHCARE,271,15,1,1,0,1,6.7,100,0,0,1.9,2.2,1.6,3,3.1,2.8,0.5,53.7,59.7,0.8,60,4,1208644.32,80576.29,13,0.9,21,22,3.7,2,47.9,37.3,38.1,1.66,1.71,15.8,3.3,7.8,2.4,0.4,18,18.9,84.8,73.3,0,32,7.2,27.8,32.2,11,30.1,10.6
HMG HEALTHCARE,272,36,2,0,0,4,11.1,77.8,0,22.2,2.9,2.8,1.5,4.4,3.3,2.8,0.3,60,54.5,0.7,67,1.9,1738088.73,48280.24,6,0.2,20,11.5,0.7,0.8,69.2,92.7,97.2,1.76,1.82,5.9,2.2,5,0.1,1,9.4,12.3,99.6,99.8,0,64.2,2.8,4.4,16.6,11.1,24.4,23.3
HOMEWOOD RETIREMENT CENTERS,273,4,2,0,0,1,25,0,100,0,3.5,3,4.5,4,4.3,3.7,0.9,44.3,28.6,0,5,1.3,27610.43,6902.61,0,0,18.1,8.6,1,2.8,77.5,89.5,82.7,1.08,0.55,19.7,5.3,7.3,3.9,1,20.6,15.1,96.9,92.1,0,62.6,7.4,0.3,20.3,10.2,44.9,5.8
HUMANGOOD,274,17,7,0,0,0,0,11.8,88.2,0,3.9,3.5,4.2,4.2,5,4.4,0.9,41.9,44.7,0.2,14,0.8,217301.47,12782.44,1,0.1,19.7,10.2,1.1,2.3,77.3,91.6,95.4,1.62,1.44,9.6,3,8.1,2.3,0.8,16,13.4,94.5,96.9,0,62.2,7.3,10.5,10.5,10.4,39.4,9.3
HUNTSVILLE HOSPITAL HEALTH SYSTEM,610,3,2,0,1,1,33.3,0,33.3,66.7,2,2,3,2.3,3.8,3.4,0.7,46.3,30.6,0,5,1.7,5584.04,1861.35,0,0,18.6,20.8,1.4,2.8,84.4,97.3,97.9,1.85,3.01,13.6,5.6,10.9,3.5,2.3,23.8,21.4,98.5,97.9,0,57.4,8.8,0.9,27.4,10.8,44.1,1.5
HURLBUT CARE,275,13,1,1,0,0,0,100,0,0,3.3,3.5,2.5,3.2,3.5,2.9,0.5,53.5,52.8,0.6,5,0.4,114226.56,8159.04,0,0,9.3,8.7,1.1,4.6,70.1,67.8,72.8,1.35,1.29,15.1,4.1,8.2,3,0.8,22.1,19.2,93.8,89.5,0,68.3,8.7,3.9,7.4,10.5,27.9,26.1
HYATT FAMILY FACILITIES,276,5,1,0,0,3,60,100,0,0,2,2.2,2.6,4,4.1,3.5,0.8,99.3,96.9,1.4,11,2.2,172101.12,34420.22,1,0.2,20.1,14.7,0.4,2.8,81.9,83.1,86.6,1.05,1.53,20.7,2.4,8,6.5,1.5,10.8,9.5,98.3,97.9,0,63.3,7.9,13.1,13.9,9.9,27,12.9
ICARE HEALTH NETWORK,277,11,2,0,0,3,27.3,100,0,0,3.1,2.7,3.5,4.1,3.4,3,0.4,34,36.3,0.5,4,0.4,249945.75,22722.34,0,0,32.4,10.9,2,0.7,85.9,66.2,85.9,1.4,1.29,15.5,2.2,6.8,0.7,0.5,14.3,15.3,95.7,97.3,0,23,3.9,6.6,26.6,10.3,40.6,3.6
IDE MANAGEMENT GROUP,278,10,1,0,0,0,0,70,10,20,3.1,3,1.7,3.8,3.2,2.8,0.7,58.8,61.5,0.4,10,1,74835.25,7483.53,2,0.2,14.9,10.2,1.6,3.5,71.1,76.9,74.4,1.42,1.19,15.5,4.1,6,2.7,0.9,18.2,14.4,94.4,91.6,0,55.6,4.4,18.2,24.8,10,43.5,8.5
IGNITE MEDICAL RESORTS,279,17,7,0,1,2,11.8,100,0,0,2.5,2.6,1.5,3.9,3.7,3.2,0.6,58.4,54.7,0.4,27,1.6,733209.08,43129.95,3,0.2,22.7,11.2,0.7,1.9,80.4,71.8,74.5,1.75,1.96,11.3,4.1,11.1,1.8,1.3,20.7,14.3,85.2,91.6,0,53.9,5.2,16.7,22.8,11.7,47.7,56.7
IHS MANAGEMENT CONSULTANTS,280,5,1,0,0,0,0,100,0,0,2,2.2,2.2,2.2,3,2.8,0.3,62.1,75,0.4,5,1,44528.29,8905.66,1,0.2,24.3,11.4,1.7,8.7,70.9,52.9,69.9,1.74,2.23,18.8,3.3,10.3,3.2,2.6,12.5,12.3,91.1,81.3,0,34.9,3.3,1.6,23.9,10.6,28.4,1
IMMANUEL,281,3,2,0,0,0,0,0,100,0,4.7,4,3.7,5,4.8,4.4,1.5,49.9,29.5,0.3,2,0.7,83184,27728,0,0,16,11.5,2.8,2.2,86.9,73.5,88.6,0.95,1.17,14.1,3.1,5.1,1.1,0.1,15.8,11.6,96.6,98.1,0,67.2,3.6,3.6,9.8,9,40.8,25.3
IMPERIAL HEALTHCARE GROUP,282,13,1,0,1,1,7.7,100,0,0,2.1,2.4,1.7,3.2,3.2,2.9,0.5,63.5,59.7,0.9,31,2.4,253167.34,19474.41,1,0.1,20.8,10.2,1,2.4,79.7,60.4,61.8,2.16,1.45,16.1,2.9,8.6,1.9,0.7,20.5,20.4,88.5,78.6,0,53.6,6.8,4.6,18.6,9.9,21.4,2.8
INFINITE CARE,578,19,3,0,0,1,5.3,100,0,0,3.1,2.7,2.6,4.2,3.6,3.2,0.7,45.4,45.6,0.9,25,1.3,552623.68,29085.46,1,0.1,24,9.1,1.2,2.4,77.9,74.8,77.2,1.82,1.33,7.9,2.4,8.2,0.6,0.9,12.8,11.8,96.6,91.1,0,53.9,7.2,8.4,14.6,11.4,29.8,6.6
INFINITY HEALTHCARE MANAGEMENT,283,58,5,1,2,15,25.9,91.4,3.4,5.2,1.8,2.1,1.3,3.6,3.1,2.7,0.5,53.5,52.7,0.8,272,4.7,8720382.95,150351.43,34,0.6,24,13.6,2.7,2.2,78.1,54.4,56.4,1.89,2.04,18,3.5,7.7,1.4,0.8,6.5,6.7,88.9,77.3,0.1,52.5,7,49.7,25.3,10.5,33.5,13.5
INGLESIDE ENGAGED LIVING,284,3,3,0,0,0,0,0,100,0,3.7,3.7,4.3,4,5.7,5.1,1.6,36.7,60.8,1,9,3,37192.6,12397.53,0,0,21.8,9.7,1.6,3.2,76.3,85.4,76,0.89,0.56,9.8,2.4,13.9,2.9,1.2,23.3,22.6,97.3,89.5,0,70,6.1,0.7,19.5,11.1,49.5,1.7
INNOVATIVE HEALTHCARE MANAGEMENT,285,6,1,0,1,0,0,100,0,0,1.7,1.7,1.2,3.5,3.2,2.7,0.4,66.1,59.7,0.5,10,1.7,165128.44,27521.41,2,0.3,21.4,9,1.5,3.3,75.6,59.6,65.3,1.44,1.48,15.8,2.6,10.5,0.9,0.5,14.4,20.7,92.2,89.1,0,63.5,6.9,22.2,17.8,9.7,33,10.9
INSPIRED HEALTHCARE MANAGEMENT,286,6,1,0,0,0,0,100,0,0,1.5,2.3,2,1.5,3.3,3,0.2,50.8,46.7,0.3,4,0.7,160030,26671.67,0,0,34.2,17.1,1.6,3,56.9,59.4,65.3,3.28,2.69,16.3,4.7,10,3.1,1.9,14.7,23.7,90.2,83.3,0,70.2,5.7,0.7,22.6,11.9,46.8,24.7
INTEGRITUS HEALTHCARE,603,15,1,0,0,3,20,6.7,93.3,0,2.5,2.6,2.6,3.5,3.6,3.1,0.5,53.1,54.3,0.5,36,2.4,990016.55,66001.1,2,0.1,20.9,11.6,1.3,1.5,79.7,74,82.1,1.44,1.45,18.7,2.8,5.8,1.6,0.8,20.2,17.3,92.1,95.6,0,58.4,5.3,2.8,17.2,10.4,32.7,29.3
INTEGRITY HEALTHCARE COMMUNITIES,652,5,1,0,0,0,0,100,0,0,3.2,4,1.4,2.6,3,2.7,0.5,52.5,58.3,0.2,0,0,0,0,0,0,23.4,26.1,2.9,0,44,56.4,41.9,1.78,3.39,14.4,2.7,2.9,1.1,1.9,14.1,14.1,97.2,85.8,0.1,49.5,4.5,29.8,27.7,10.7,38,32.5
JAG HEALTHCARE,289,9,1,0,0,0,0,100,0,0,3.7,3.6,2.4,4.1,3.3,2.9,0.5,36.4,37.2,0.4,11,1.2,75793.77,8421.53,3,0.3,,,,,,71.4,81.6,1.62,1.87,29.4,4.5,3.9,0.8,0.1,9.7,11.5,97.2,92.1,0.1,26.4,7.6,44.6,40.2,10.8,11.5,4
JAMES & JUDY LINCOLN,290,68,2,0,2,4,5.9,100,0,0,2.4,2.9,1.9,2.7,3.1,2.8,0.4,59.9,64,2.2,44,0.6,1101989.73,16205.73,15,0.2,26.2,14.3,1.9,2.7,57.9,61.2,63.6,1.73,1.81,24.4,4,8,4.9,1.6,14.3,14.7,94.8,82.2,0.2,31.9,5.6,3.7,30.1,10.7,35.5,3.4
JANET & BRENDA MANDELBAUM,291,16,1,0,0,0,0,100,0,0,3.9,3.4,3.1,4.6,4.8,4.2,0.5,36.4,40.9,0.3,26,1.6,298539.22,18658.7,0,0,22.4,7.1,1.7,1.5,85.2,96.6,98.5,2.04,0.86,13.7,1.1,7.2,0.8,2.3,10.9,7.7,99.5,99.9,0.4,25.2,4.4,2.3,16.4,13.7,40.4,20.6
JONATHAN BLEIER & YAAKOV SOD,293,17,4,0,0,3,17.6,100,0,0,1.9,1.9,2.8,3.5,3.4,3.1,0.5,48.6,47.4,0.2,28,1.6,556856.33,32756.25,0,0,21.2,10.5,1.6,1.6,77.3,80.6,82.6,1.43,1.26,13.8,2.6,6.6,1.4,0.6,13.8,13.6,96,92.7,0,46,6.5,1.6,18.7,10.3,30.1,16
JPH CONSULTING,294,4,2,0,0,0,0,100,0,0,3,3,1.8,3.8,3.9,3.6,0.4,67.7,66.5,,74,18.5,420568.77,105142.19,0,0,13.4,5.5,2.7,0.3,58.1,57.4,46.2,2.81,0.82,14.8,0.9,6.3,2,0.2,15.3,18.2,93.2,92,0,40.7,4.4,0.5,12.5,10.3,42,49
JUCKETTE FAMILY HOMES,295,6,1,0,0,1,16.7,100,0,0,1.5,2.2,1.2,2.3,3.7,3.4,0.3,56.4,83.3,1,6,1,81762.47,13627.08,3,0.5,22.4,16.9,1.2,2.4,79.3,69.5,85.1,1.91,2.39,24.1,6.6,5.4,3.1,1.6,17.9,15.5,95.4,98,0.6,36.6,6.9,6.6,23.7,10.7,13.6,1.1
KADIMA HEALTHCARE GROUP,296,6,1,0,0,0,0,100,0,0,1.3,1.3,3,2.3,3.3,3.1,0.7,67.1,70,0.8,17,2.8,416377.52,69396.25,2,0.3,19.9,8,1.7,0.4,62.6,36.4,41.1,1.57,1.63,21.3,4.2,7.7,1.4,1.1,25.3,20.6,92.2,73,0,49.9,3.9,1.9,16.1,10.4,12.5,10
KALESTA HEALTHCARE GROUP,297,6,1,0,0,1,16.7,100,0,0,1.7,1.8,1.8,4,4.2,3.8,0.4,55.3,58.5,1.2,23,3.8,185321.07,30886.85,1,0.2,22.6,13.2,1.2,0.8,87.5,96.3,96.4,1.51,1.73,11.2,1.3,6.1,1.4,1.7,12.9,7.5,98.9,98.8,0,46.8,3.8,2.9,15.1,10.2,22,9.6
KENDAL,653,8,5,0,0,0,0,0,100,0,5,4.5,5,3.3,5.2,4.6,1.3,33.2,26.7,0.1,7,0.9,34831.97,4354,0,0,20.4,14.1,1.2,2.6,75.6,87.3,91.1,1.22,1.08,14.3,5.6,5.6,3.8,0.8,18.8,13.6,99.2,97.2,0,70.3,4.2,2.8,15.8,10.1,80.2,7.9
KINDRED HEALTHCARE,300,4,4,0,0,0,0,100,0,0,3.3,3,2.8,3.3,7.1,6,1.8,29,12.5,0.7,5,1.3,79655.53,19913.88,0,0,19.6,6,2.8,2.5,82.9,96.7,94.4,1.33,1.54,20.5,0.2,32.9,6.6,7.1,19.8,17.7,99.8,99.8,0.5,,7.1,0.9,48.7,10.7,49.3,17.1
KINGSTON HEALTHCARE,301,6,2,0,0,0,0,100,0,0,3.7,3.2,2.2,4.7,4.2,3.7,0.8,53.5,51.3,0.8,2,0.3,22399,3733.17,0,0,20.6,11.9,0.7,3.7,80.1,76.1,76.8,1.4,1.33,7,2.1,12.6,0.6,0,13.2,10.2,92.3,87,0,61.6,5.7,9.5,21.1,10.6,1.5,40.3
KISCO SENIOR LIVING,585,2,2,0,0,0,0,100,0,0,4,4,3.5,2,5.2,4.5,1.2,35.2,53.3,1,1,0.5,7900.75,3950.38,0,0,26.8,15.5,1.8,3,78,84.7,94.5,1.89,2.04,41.1,15.4,15.2,3.5,3.1,22,5.8,97.1,96.4,0,,12.5,1.6,38.5,9.7,22.7,1.3
KISSITO HEALTHCARE,302,7,2,0,0,0,0,42.9,57.1,0,4.1,4.1,3,3.4,4,3.5,0.8,44.9,36.5,0.7,2,0.3,23947.3,3421.04,0,0,20.2,17.4,0.8,2,72.6,72.6,81.1,1.83,2.53,13.2,3.8,11.3,1.8,0.3,10.5,11.4,95.8,95.7,0,48.1,4.2,2.4,25.9,10.7,46.8,3.1
KPC PROMISE HEALTHCARE,303,4,3,0,0,0,0,100,0,0,2.5,2.8,2.5,3.5,4.4,3.8,0.8,37.7,23.3,0,9,2.3,225370.98,56342.75,3,0.8,29.8,19.8,1.9,2.5,79.4,81.1,87.2,1.96,1.62,3.9,2.8,10.7,2.2,2.2,17.2,13.3,93.5,92.5,0,40.5,5.4,19.1,37.2,10.3,30.6,1.7
KR MANAGEMENT,667,5,1,0,0,0,0,100,0,0,3.6,2.8,3,4.6,4,3.6,0.7,54.4,53.9,0.2,4,0.8,198444.8,39688.96,0,0,23.1,9.8,0.5,2,84.7,90,97.7,1.66,0.75,7.7,2.4,4.9,1.9,0.2,14.5,11.8,99.1,100,0.3,48.2,4.2,2.3,19.4,10.3,20.5,1.9
LANTIS ENTERPRISES,304,5,2,0,1,1,20,100,0,0,2,2,2.4,2.4,2.9,2.6,0.6,62.2,67.8,0.4,4,0.8,131634.75,26326.95,3,0.6,11.8,5.9,3.9,1.2,80,71.9,77.3,1.64,2.11,26.4,4.7,8.4,3.9,2.2,16.4,12.6,96.3,94.1,0,40.4,5.8,3.5,21.6,9.7,5.5,1.7
LEGACY HEALTH SERVICES,305,27,1,0,1,1,3.7,66.7,29.6,3.7,2.3,2.6,1.3,3.9,3.3,2.9,0.6,59.9,60.3,1.1,41,1.5,1120255.06,41490.93,8,0.3,23.5,12,1.1,2,72.2,77.9,84.7,1.67,1.65,8.7,2.9,6.5,0.6,0.3,13.9,11.3,94.7,95.3,0,48.3,6.3,22.4,19.7,10.3,11.1,7.7
LEGACY HEALTHCARE,306,57,3,0,0,12,21.1,100,0,0,2.4,2.5,1.9,3.2,3.3,2.9,0.8,51.6,44.7,0.8,199,3.5,4844439.16,84990.16,36,0.6,23.8,12,2.4,1.7,82.1,55.2,66.7,1.62,1.65,19,2.8,9.9,1.8,1.5,14.2,10.7,88.2,86.7,0.2,45.6,7.9,62.3,14.5,10.8,39.3,9.3
LEGACY NURSING & REHABILITATION,307,9,2,0,0,3,33.3,100,0,0,1.8,2.2,1.4,2.4,3.2,2.8,0.2,45.5,44.9,0.8,31,3.4,1150645.43,127849.49,4,0.4,21.4,15,2.3,3.4,81.8,49.7,86,2.33,2.8,14.9,2,10.4,1.3,0.9,8.3,18.7,83.1,95.8,0,42.9,4,4.2,24.1,11.4,13.2,2.9
LEXINGTON HEALTH MANAGEMENT,309,17,5,1,5,4,23.5,100,0,0,2.2,2.1,2,3.7,3.5,3.2,0.5,55.3,51.3,0.8,35,2.1,2401013.9,141236.11,10,0.6,19.9,12.8,1.4,2.2,83.2,68.5,74.2,1.43,1.71,10.8,3.4,8.7,1,0.8,17.1,16.1,92.9,90,0.2,44.3,6.4,11.7,22.4,10.8,38.2,13.4
LIBERTY SENIOR LIVING,310,33,2,0,0,2,6.1,100,0,0,2.1,2.5,1.8,2.3,3.4,3,0.4,56.9,52.2,0.7,48,1.5,1385039.43,41970.89,11,0.3,20.9,15.6,1.5,3.4,75,81,86.3,1.66,2.12,14.2,3.9,12.4,5,2.1,20.5,22.3,95,93.2,0,64.9,7.5,2.8,18,10.6,32.9,7.8
